mouldCode,date,startDate,endDate,activity,activityId,username,workstationId
2844,20-01-2021 23:56:35.35,20-01-2021 23:56:35.35,21-01-2021 03:34:31.31,maquinação de eléctrodos,1008,user42,1008
2846,08-02-2021 15:37:40.40,08-02-2021 15:37:40.40,08-02-2021 15:57:10.10,maquinação de eléctrodos,1008,user42,1008
2922,17-11-2020 09:24:55.55,17-11-2020 09:24:55.55,17-11-2020 11:50:46.46,maquinação de eléctrodos,1008,user42,1008
3037,22-12-2020 16:53:59.59,22-12-2020 16:53:59.59,22-12-2020 17:02:34.34,maquinação de eléctrodos,1008,user42,1008
3133,25-11-2020 14:20:08.08,25-11-2020 14:20:08.08,27-11-2020 09:44:52.52,maquinação de eléctrodos,1008,user42,1008
3133,27-11-2020 09:16:55.55,27-11-2020 09:16:55.55,27-11-2020 15:36:38.38,erosão,1009,user39,1009
3139,06-07-2020 08:57:43.43,06-07-2020 08:57:43.43,06-07-2020 16:34:01.01,erosão,1009,user39,1009
3139,08-07-2020 16:44:45.45,08-07-2020 16:44:45.45,08-07-2020 18:47:25.25,maquinação de eléctrodos,1008,user42,1008
3139,09-07-2020 09:06:39.39,09-07-2020 09:06:39.39,09-07-2020 14:22:05.05,erosão,1009,user39,1009
3139,09-07-2020 10:51:05.05,09-07-2020 10:51:05.05,09-07-2020 13:41:30.30,maquinação de eléctrodos,1008,user42,1008
3139,09-07-2020 14:22:05.05,09-07-2020 14:22:05.05,13-07-2020 11:36:21.21,erosão,1009,user39,1009
3139,13-07-2020 08:00:33.33,13-07-2020 08:00:30.30,13-07-2020 08:52:36.36,bancada,1002,user92,1002
3139,17-09-2020 10:23:23.23,17-09-2020 10:23:23.23,17-09-2020 12:30:07.07,estrutura,1013,user22,1013
3139,17-09-2020 13:19:06.06,17-09-2020 13:19:06.06,17-09-2020 14:18:05.05,preliminares,1006,user22,1006
3139,18-09-2020 13:38:57.57,18-09-2020 13:38:57.57,21-09-2020 15:44:28.28,maquinação de eléctrodos,1008,user42,1008
3139,21-09-2020 15:05:49.49,21-09-2020 15:05:49.49,22-09-2020 08:59:14.14,bancada,1002,user64,1002
3139,23-09-2020 08:52:24.24,23-09-2020 08:52:24.24,24-09-2020 08:18:49.49,maquinação de eléctrodos,1008,user42,1008
3139,23-09-2020 14:02:06.06,23-09-2020 14:02:06.06,07-12-2020 10:11:39.39,bancada,1002,user64,1002
3139,07-12-2020 12:22:52.52,07-12-2020 12:22:52.52,07-12-2020 12:30:07.07,estrutura,1013,user25,1013
3139,07-12-2020 13:30:38.38,07-12-2020 13:30:38.38,07-12-2020 17:01:04.04,preliminares,1006,user25,1006
3139,09-12-2020 08:00:03.03,09-12-2020 07:59:58.58,09-12-2020 09:16:24.24,bancada,1002,user64,1002
3139,09-12-2020 08:01:15.15,09-12-2020 08:01:15.15,09-12-2020 11:15:38.38,preliminares,1006,user25,1006
3139,14-12-2020 09:34:50.50,14-12-2020 09:34:50.50,14-12-2020 11:50:00.00,bancada,1002,user64,1002
3139,14-12-2020 14:36:27.27,14-12-2020 14:36:27.27,14-12-2020 14:50:52.52,maquinação de eléctrodos,1008,user42,1008
3139,15-12-2020 08:00:16.16,15-12-2020 08:00:13.13,08-01-2021 11:45:17.17,bancada,1002,user94,1002
3139,11-01-2021 09:49:19.19,11-01-2021 09:49:19.19,11-01-2021 10:15:39.39,maquinação de eléctrodos,1008,user42,1008
3139,12-01-2021 13:29:58.58,12-01-2021 13:29:57.57,13-01-2021 12:30:13.13,bancada,1002,user94,1002
3139,15-01-2021 08:07:06.06,15-01-2021 08:07:06.06,15-01-2021 11:38:50.50,estrutura,1013,user25,1013
3139,18-01-2021 10:28:28.28,18-01-2021 10:28:28.28,18-01-2021 13:05:44.44,maquinação de eléctrodos,1008,user42,1008
3139,19-01-2021 13:59:25.25,19-01-2021 13:59:25.25,09-02-2021 09:52:22.22,bancada,1002,user148,1002
3139,09-02-2021 09:53:34.34,09-02-2021 09:53:34.34,09-02-2021 12:09:47.47,estrutura,1013,user22,1013
3139,09-02-2021 11:07:15.15,09-02-2021 11:07:15.15,09-02-2021 15:09:36.36,polimento,1010,user106,1010
3139,10-02-2021 09:56:59.59,10-02-2021 09:56:59.59,11-02-2021 15:11:58.58,bancada,1002,user118,1002
3176,26-10-2020 13:30:21.21,26-10-2020 13:30:21.21,26-10-2020 15:31:49.49,bancada,1002,user148,1002
3210,06-07-2020 06:58:21.21,06-07-2020 06:58:18.18,06-07-2020 07:00:19.19,bancada,1002,user64,1002
3210,24-09-2020 16:51:42.42,24-09-2020 16:51:42.42,24-09-2020 17:00:31.31,estrutura,1013,user22,1013
3210,25-09-2020 09:28:42.42,25-09-2020 09:28:42.42,28-09-2020 08:59:23.23,preliminares,1006,user22,1006
3211,03-07-2020 08:05:10.10,03-07-2020 08:05:10.10,03-07-2020 10:53:38.38,bancada,1002,user92,1002
3211,03-07-2020 14:34:36.36,03-07-2020 14:34:36.36,03-07-2020 17:00:33.33,trabalho interno,1001,user25,1001
3211,06-07-2020 08:01:49.49,06-07-2020 08:01:49.49,06-07-2020 14:36:35.35,preliminares,1006,user25,1006
3211,07-07-2020 13:48:32.32,07-07-2020 13:48:32.32,13-08-2020 09:20:07.07,bancada,1002,user92,1002
3211,03-09-2020 10:43:12.12,03-09-2020 10:43:12.12,03-09-2020 12:30:10.10,trabalho interno,1001,user77,1001
