case,cavities,material_type,molde_area,costs,complexity,subcontracting,num_peca,start_timestamp,time:timestamp,activity,org:resource,sub_processo
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-06-08 21:24:13,2016-06-29 16:23:32,Maquinacao de Eletrodos,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-06-14 14:58:36,2016-06-14 17:35:01,Erosao,User 41,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-06-15 09:06:21,2016-07-06 05:52:18,Maquinacao de Eletrodos,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-06-24 08:52:00,2016-07-15 06:11:57,Erosao,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-07-18 16:46:38,2016-08-08 18:51:09,Maquinacao de Eletrodos,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-07-22 10:19:00,2016-08-12 12:36:31,Erosao,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-07-22 10:31:25,2016-07-22 11:35:55,Maquinacao de Eletrodos,User 42,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-07-22 10:33:00,2016-07-22 10:53:00,Erosao,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-07-22 10:33:23,2016-08-12 13:05:02,Maquinacao de Eletrodos,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-07-22 10:54:00,2016-07-22 11:05:00,Erosao,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-07-22 10:54:24,2016-07-22 11:00:59,Maquinacao de Eletrodos,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-07-22 11:06:00,2016-08-12 16:42:27,Erosao,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-07-26 16:41:39,2016-07-26 16:46:57,Polimento,User 13,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-10-10 20:57:06,2016-11-01 17:34:44,Maquinacao de Eletrodos,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2016-10-20 10:51:47,2016-11-11 23:21:42,Erosao,User 40,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2017-03-22 18:59:11,2017-04-14 20:19:00,Maquinacao de Eletrodos,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2017-03-24 08:17:54,2017-04-16 10:38:13,Erosao,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2017-03-24 08:35:07,2017-03-24 08:38:00,Maquinacao de Eletrodos,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2017-03-24 08:36:00,2017-04-16 11:08:19,Erosao,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2017-03-24 08:42:48,2017-03-24 08:45:52,Maquinacao de Eletrodos,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2017-03-24 08:56:00,2017-04-19 07:35:01,Erosao,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2017-05-03 18:39:39,2017-05-30 19:20:52,Maquinacao de Eletrodos,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2017-05-05 11:42:00,2017-06-05 12:25:42,Erosao,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2017-05-08 11:04:23,2017-05-08 12:28:26,Fresagem,User 71,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2017-05-08 11:08:00,2017-06-08 14:12:42,Erosao,No User,RETIFICACAO
2844,4,PA66 GF40,Automovel,91000,3,0,200,2017-05-09 07:54:34,2017-06-09 16:47:26,Maquinacao,No User,RETIFICACAO
