case,cavities,material_type,molde_area,costs,complexity,subcontracting,num_peca,start_timestamp,time:timestamp,activity,org:resource,sub_processo
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-05-31 14:47:00,2016-06-20 03:08:45,Retificacao,User 37,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-06-06 15:45:30,2016-06-26 07:42:04,Bancada,User 115,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-06-07 09:15:22,2016-06-07 11:10:44,Estrutura,User 25,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-06-07 09:59:59,2016-06-07 11:49:18,Polimento,User 106,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-06-07 10:23:41,2016-06-27 19:51:28,Bancada,User 96,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-07-11 08:29:18,2016-07-11 12:30:04,Estrutura,User 25,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-07-11 13:29:42,2016-07-11 15:28:33,Preliminares,User 25,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-07-11 13:30:48,2016-08-01 14:39:15,Bancada,User 96,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-07-18 16:18:49,2016-07-18 18:30:50,Estrutura,User 25,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-07-20 08:02:09,2016-07-20 08:02:13,Preliminares,User 25,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-07-22 08:21:42,2016-08-13 09:30:21,Bancada,User 96,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-09-01 09:45:01,2016-09-01 12:11:01,Estrutura,User 25,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-09-06 17:28:04,2016-09-29 08:50:19,Bancada,User 118,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-10-24 15:22:25,2016-10-24 17:27:02,Fresagem,User 72,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-11-04 10:29:33,2016-11-28 13:23:39,Bancada,User 96,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-12-06 10:28:17,2016-12-30 15:45:21,Prensa,User 115,RETIFICACAO
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-12-06 13:30:24,2016-12-31 20:46:59,Bancada,User 121,RETIFICACAO
