case,cavities,material_type,molde_area,costs,complexity,subcontracting,num_peca,start_timestamp,time:timestamp,activity,org:resource
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-13 10:35:04,2014-11-13 12:30:11,Estrutura,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-13 12:07:09,2014-11-13 12:08:28,Fresagem,User 71
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-13 13:30:48,2014-11-13 17:00:34,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-13 13:35:53,2014-11-13 13:36:34,Fresagem,User 71
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-14 08:00:19,2014-11-14 12:29:53,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-14 10:32:41,2014-11-14 12:29:53,Estudos Reologicos,User 22
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-14 13:30:17,2014-11-14 22:11:37,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-17 10:35:35,2014-11-17 12:29:53,Estrutura,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-17 13:27:09,2014-11-17 19:00:50,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-18 07:52:42,2014-11-18 08:37:40,Estrutura,User 22
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-18 08:00:12,2014-11-18 12:30:03,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-18 11:06:17,2014-11-18 11:24:45,Pecas,User 22
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-18 13:28:28,2014-11-19 08:13:35,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-19 11:40:53,2014-11-19 12:29:50,Estrutura,User 22
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-19 13:19:03,2014-11-20 11:28:25,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-19 16:38:31,2014-11-20 19:25:51,Estrutura,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-20 13:30:32,2014-11-22 18:14:54,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-25 15:20:08,2014-11-25 17:00:14,Estrutura,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-26 07:56:41,2014-11-29 05:32:42,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-11-28 09:35:07,2014-12-01 13:35:43,Estrutura,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-01 08:02:26,2014-12-04 21:28:59,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-02 08:54:36,2014-12-06 05:55:29,Fresagem,User 74
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-02 13:28:33,2014-12-02 17:00:07,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-02 13:32:34,2014-12-06 21:05:22,Fresagem,User 83
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-03 07:57:31,2014-12-03 08:11:47,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-03 08:01:44,2014-12-08 14:36:37,Fresagem,User 83
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-05 15:55:44,2014-12-05 17:19:50,Torno,User 51
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-09 08:31:31,2014-12-09 08:44:39,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-09 09:10:12,2014-12-09 10:35:26,Estrutura,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-09 14:14:27,2014-12-15 03:03:58,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-18 12:14:03,2014-12-18 12:30:03,Estrutura,User 23
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-18 14:06:53,2014-12-18 16:31:28,Preliminares,User 23
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-19 12:26:26,2014-12-25 01:47:36,Torno,User 51
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2014-12-29 13:47:26,2015-01-04 05:30:21,Bancada,User 94
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-01-05 12:08:41,2015-01-05 12:29:40,Estrutura,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-01-06 14:00:54,2015-01-06 15:18:53,Preliminares,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-01-06 15:11:28,2015-01-13 00:11:07,Bancada,User 92
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-01-13 15:12:12,2015-01-13 16:00:42,Fresagem,User 71
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-01-19 11:32:36,2015-01-27 02:03:12,Bancada,User 8
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-01-23 15:04:37,2015-01-31 12:00:16,Prensa,User 8
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-01-26 09:26:05,2015-02-03 11:50:27,Preliminares,User 77
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-01-26 13:25:15,2015-02-04 00:07:49,Prensa,User 8
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-01-27 10:41:49,2015-02-05 06:44:04,Bancada,User 8
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-01-31 09:22:03,2015-01-31 10:17:05,Estrutura,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-02-02 08:21:04,2015-02-12 04:07:36,Bancada,User 8
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-02-05 16:34:51,2015-02-05 18:15:24,Fresagem,User 74
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-02-06 08:08:45,2015-02-06 11:21:50,Bancada,User 8
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-02-06 08:58:21,2015-02-06 09:48:35,Fresagem,User 74
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-02-10 09:20:53,2015-02-20 10:32:26,Bancada,User 8
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-02-25 08:05:08,2015-02-25 08:25:45,Estrutura,User 25
2696,1,PA6.6-GF40,Automovel,41000,3,0,900,2015-03-16 11:23:03,2015-03-26 14:15:26,Bancada,User 8
