case,cavities,material_type,molde_area,costs,complexity,subcontracting,num_peca,start_timestamp,time:timestamp,activity,org:resource
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-01-29 08:00:24,2016-01-29 12:29:41,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-01-29 13:31:04,2016-01-31 05:50:19,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-02-05 08:33:06,2016-02-05 12:29:32,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-02-05 13:29:35,2016-02-09 18:08:54,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-02 10:40:29,2016-03-02 12:29:19,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-02 13:30:09,2016-03-07 00:13:52,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-03 09:07:40,2016-03-03 12:29:20,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-03 15:43:58,2016-03-08 10:09:25,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-04 12:22:15,2016-03-04 12:29:19,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-04 13:29:57,2016-03-04 13:32:51,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-04 15:21:15,2016-03-04 19:01:03,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-07 07:59:25,2016-03-12 12:59:18,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-08 09:31:48,2016-03-08 12:29:17,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-08 13:28:43,2016-03-14 01:47:08,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-09 12:05:49,2016-03-09 12:29:18,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-09 13:27:21,2016-03-09 13:37:03,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-09 14:08:14,2016-03-09 14:09:10,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-10 08:05:02,2016-03-10 10:48:57,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-10 12:27:55,2016-03-10 12:29:30,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-10 13:28:48,2016-03-16 09:43:52,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-11 11:50:36,2016-03-11 11:53:00,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-11 13:43:31,2016-03-17 18:21:21,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-14 10:01:48,2016-03-14 12:10:54,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-14 13:57:40,2016-03-21 00:24:51,Preliminares,User 114
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-16 13:42:31,2016-03-23 01:10:13,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-21 15:48:42,2016-03-21 15:57:30,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-22 17:18:13,2016-03-29 06:42:12,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-23 13:30:05,2016-03-23 13:56:53,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-23 14:31:47,2016-03-23 17:00:40,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-24 08:00:17,2016-03-24 09:31:28,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-24 08:39:38,2016-03-24 09:13:12,Bancada,User 115
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-24 11:00:15,2016-03-24 12:30:03,Estrutura,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-24 13:32:10,2016-03-24 15:02:04,Preliminares,User 25
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-03-28 08:00:49,2016-03-28 08:08:42,Retificacao,User 37
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-04-04 08:04:05,2016-04-04 08:18:12,Fresagem,User 74
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-04-04 13:30:41,2016-04-04 20:07:25,Bancada,User 64
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-04-04 13:41:52,2016-04-04 13:57:15,Fresagem,User 74
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-04-05 08:00:11,2016-04-05 11:23:22,Bancada,User 64
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-04-05 08:49:17,2016-04-12 06:00:41,Fresagem,User 74
2846,2+2,PA66 GF40,Automovel,106000,3,0,900,2016-04-08 14:36:38,2016-04-16 09:25:02,Bancada,User 115
